"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","01.62","Działalność usługowa wspomagająca chów i hodowlę zwierząt","Klasa ta obejmuje:
-    działalność rolniczą świadczoną na zlecenie, w zakresie:
 •     działań promujących wzrost produkcji zwierząt,
 •     opieki nad stadem, wypasania cudzego inwentarza, trzebienia kogutów, czyszczenia kojców itp.,
 •     działalności związanych ze sztucznym unasiennianiem,
 •     kolczykowania zwierząt,
 •     korekty racic, usuwania poroża, obcinania kiełków u prosiąt, kurtyzacji zwierząt gospodarskich (obcinanie ogonków),
 •     przygotowania zwierząt gospodarskich do wystaw i pokazów,
 •     strzyżenia owiec,
 •     prowadzenia schronisk dla zwierząt gospodarskich.","Klasa ta obejmuje także:
-    usługi podkuwania koni.","Klasa ta nie obejmuje:
-    wynajmu miejsc w schroniskach dla zwierząt gospodarskich, sklasyfikowanego w 68.20,
-    działalności weterynaryjnej, włącznie ze szczepieniem zwierząt, sklasyfikowanej w 75.00,
-    wynajmowania zwierząt (np. stada zwierząt), sklasyfikowanego w 77.39,
-    prowadzenia schronisk dla zwierząt domowych, sklasyfikowanego w 96.09.","","0162","This class includes:
- agricultural activities on a fee or contract basis:
  • activities to promote propagation, growth and output of animals
  • herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  • activities related to artificial insemination
  • stud services
  • sheep shearing
  • farm animal boarding and care","This class also includes:
- activities of farriers","This class excludes:
- provision of space for animal boarding only, see 68.20
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds), see 77.39
- pet boarding, see 96.09"
"4","01.63","Działalność usługowa następująca po zbiorach","Klasa ta obejmuje:
-    przygotowanie plonów do sprzedaży na rynek pierwotny przez: czyszczenie, obcinanie, sortowanie, odkażanie,
-    odziarnianie bawełny,
-    przygotowanie liści tytoniowych, szyszek chmielowych, ziół, np. suszenie,
-    przygotowanie ziaren kakaowych, np. łuskanie
-    woskowanie owoców.","","Klasa ta nie obejmuje:
-    przygotowania do sprzedaży produktów rolniczych przez producenta, sklasyfikowanego  w odpowiednich klasach grup 01.1, 01.2 i 01.3,
-    działalności następującej po zbiorach skierowanej na polepszenie jakości nasion, sklasyfikowanej w 01.64,
-    wstępnego przetwarzania surowca tytoniowego, tzn. przygotowania do dalszego przerobu przez producentów wyrobów tytoniowych surowca tytoniowego, polegającego w szczególności na odżyłowaniu, cięciu, nasączaniu lub dosuszaniu blaszki liściowej,  sklasyfikowanego w 12.00,
-    działalności marketingowej wykonywanej na zlecenie kupców i stowarzyszeń, sklasyfikowanej w odpowiednich klasach działu 46,
-    sprzedaży hurtowej płodów rolnych, sklasyfikowanej w odpowiednich klasach grupy 46.2","Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing activities.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:

• NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
• Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","0163","This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit
- sun-drying of fruit and vegetables","","This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- post-harvest activities aimed at improving the propagation quality of seed, see 01.64
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2"
"4","01.64","Obróbka nasion dla celów rozmnażania","Klasa ta obejmuje:
-    działalność usługową następującą po zbiorach skierowaną na polepszenie jakości nasion przeznaczonych na siew poprzez usunięcie nasion niewyrośniętych, uszkodzonych mechanicznie lub przez insekty, nasion niedojrzałych, jak również utrzymywanie wilgotności na poziomie bezpiecznym dla ich przechowywania,
-    suszenie, czyszczenie, sortowanie i przechowywanie nasion do momentu ich sprzedaży,
-    genetyczną modyfikację nasion.","","Klasa ta nie obejmuje:
-    produkcji nasion, sklasyfikowanej w odpowiednich klasach grup 01.1 i 01.2,
-    przetwarzania nasion w celu otrzymania oleju, sklasyfikowanego w 10.41,
-    badań eksperymentalnych związanych z rozwojem i modyfikacją nasion, sklasyfikowanych w 72.11.","","0164","This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here.","","This class excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing of seeds to obtain oil, see 10.41
- research to develop or modify new forms of seeds, see 72.11"
"3","01.7","Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową","","","","","017","","",""
"4","01.70","Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową","Klasa ta obejmuje:
-    pozyskiwanie zwierząt łownych w celach handlowych,
-    pozyskiwanie zwierząt łownych (żywych i martwych) dla celów konsumpcyjnych, uzyskania trofeów, futer, skór, przeprowadzania badań oraz odłowu w celu przemieszczania na inne tereny, a także w celu umieszczenia ich w ogrodach zoologicznych lub jako zwierzęta domowe,
-    produkcję skór zwierząt łownych, włączając ptaki, pozyskiwanych z działalności łowieckiej.","Klasa ta obejmuje także:
-   hodowlę, rozmnażanie i prowadzenie zasiedleń zwierzętami łownymi,","Klasa ta nie obejmuje:
-    produkcji skór zwierząt hodowlanych, włączając ptaki,  pozyskiwanych z chowu i hodowli, sklasyfikowanej w odpowiednich klasach grupy 01.4,
-    chowu i hodowli dzikich zwierząt w gospodarstwach produkcyjnych, sklasyfikowanych w 01.49,
-    polowania na wieloryby, sklasyfikowanego w 03.11,
-    produkcji skór surowych pochodzących z rzeźni, sklasyfikowanej w 10.11,
-    myślistwa sportowego i rekreacyjnego, sklasyfikowanego w 93.19,
-    działań promujących myślistwo i łowiectwo, sklasyfikowanych w 94.99.","","0170","This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This class also includes:
- land-based catching of sea mammals such as walrus and seal","This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.49
- raising of game animals on ranching operations, see 01.4
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99"
"2","02","Leśnictwo i pozyskiwanie drewna","Dział ten obejmuje:
-    wytwarzanie drewna okrągłego do dalszego przerobu,
-    pozyskiwanie i zbieranie dziko rosnących produktów leśnych,
-    wytwarzanie produktów używanych w postaci nieprzetworzonej lub przetworzonych w niewielkim stopniu, takich jak: drewno opałowe, węgiel drzewny, zrębki lub drewno okrągłe (np. stojaki kopalniane, żerdzie itp.),
-    urządzanie lasu,
-    utrzymanie i powiększanie zasobów i upraw leśnych,
-    działalność z zakresu nasiennictwa i selekcji leśnej,
-    zagospodarowanie i ochronę lasu,
-    przystosowywanie, utrzymanie i wykorzystanie zasobów przyrodniczych w ramach realizacji pozaprodukcyjnych funkcji lasu,
-    działalność usługową związaną z leśnictwem.
Działania te mogą być wykonywane w lasach naturalnych lub zasadzonych.","","Dział ten nie obejmuje:
-    dalszej obróbki drewna związanej z jego piłowaniem i heblowaniem, sklasyfikowanej w  odpowiednich klasach działu 16.","","02","This division includes the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in products that undergo little processing, such as firewood, charcoal and roundwood used in an unprocessed form (e.g. pit-props, pulpwood etc.). These activities can be carried out in natural or planted forests.","","Excluded is further processing of wood beginning with sawmilling and planning of wood, see division 16."
"3","02.1","Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych","","","","","021","","",""
"4","02.10","Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych","Klasa ta obejmuje:
-    urządzanie lasu,
-    zagospodarowanie lasu,
-    utrzymanie i powiększanie zasobów i upraw leśnych,
-    ochronę lasów i dróg leśnych, włączając ochronę przeciwpożarową, łącznie z gaszeniem pożarów w lasach,
-    działalność szkółek leśnych,
-    przystosowywanie, utrzymanie i wykorzystanie zasobów przyrodniczych w ramach realizacji pozaprodukcyjnych funkcji lasu.
Działania te mogą być wykonywane w lasach naturalnych lub zasadzonych.","","Klasa ta nie obejmuje:
-    uprawy choinek świątecznych, sklasyfikowanej w 01.29,
-    szkółkarstwa innego niż leśne, sklasyfikowanego w 01.30,
-    pozyskiwania grzybów i innych dziko rosnących produktów leśnych, sklasyfikowanego w 02.30,
-    produkcji wiórów drewnianych, sklasyfikowanej w 16.10.","","0210","This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries

These activities can be carried out in natural or planted forests.","","This class excludes:
- growing of Christmas trees, see 01.29
- operation of tree nurseries, except for forest trees, see 01.30
- gathering of mushrooms and other wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10"
"3","02.2","Pozyskiwanie drewna","","","","","022","","",""
"4","02.20","Pozyskiwanie drewna","Klasa ta obejmuje pozyskiwanie:
-    drewna okrągłego do dalszego przerobu w przemyśle przetwórczym,
-    drewna okrągłego używanego w postaci nieprzetworzonej takiej jak:  kopalniak, żerdzie i słupy,
-    drewna i innych produktów leśnych na cele opałowe
oraz
-    produkcję węgla drzewnego w lesie (z wykorzystaniem metod tradycyjnych).
W wyniku tej działalności powstają drewno użytkowe, zrębki lub drewno opałowe.","","Klasa ta nie obejmuje:
-    uprawy choinek świątecznych, sklasyfikowanej w 01.29,
-    urządzania i zagospodarowania lasu oraz utrzymania i powiększania zasobów i upraw leśnych, sklasyfikowanych w 02.10,
-    pozyskiwania dziko rosnących produktów leśnych, sklasyfikowanego w 02.30,
-    produkcji wiórów drewnianych, sklasyfikowanej w 16.10,
-    produkcji węgla drzewnego otrzymywanego w procesie destylacji drewna, sklasyfikowanej w 20.14.","","0220","This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles
- gathering and production of wood for energy
- gathering and production of forest harvesting residues for energy
- production of charcoal in the forest (using traditional methods)

The output of this activity can take the form of logs or fire wood.","","This class excludes:
- growing of Christmas trees, see 01.29
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10
- gathering of wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10
- production of charcoal through distillation of wood, see 20.14"
"3","02.3","Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna","","","","","023","","",""
"4","02.30","Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna","Klasa ta obejmuje pozyskiwanie dziko rosnących produktów leśnych, takich jak:
-    grzyby, w tym trufle,
-    owoce jagodowe,
-    orzechy leśne,
-    balaty i pozostałe żywice gumopodobne,
-    korek,
-    żywica i szelak nieczyszczony,
-    balsamy,
-    włókna roślinne,
-    trawa morska,
-    żołędzie, kasztany, szyszki, nasiona, owocnie,
-    mchy i porosty.","","Klasa ta nie obejmuje:
-    przetwórstwa dowolnego z tych produktów (z wyjątkiem uprawy drzew korkowych), klasyfikowanych w dziale 01,
-    uprawy grzybów, w tym trufli, sklasyfikowanej w 01.13,
-    uprawy drzew i krzewów owocowych jagodowych lub orzechów, sklasyfikowanej w 01.25,
-    pozyskiwania drewna opałowego, sklasyfikowanego w 02.20,
-    produkcji wiórów drewnianych, sklasyfikowanej w 16.10.","","0230","This class includes:
- gathering of wild growing materials:
  • mushrooms, truffles
  • berries
  • nuts
  • balata and other rubber-like gums
  • cork
  • lac and resins
  • balsams
  • vegetable hair
  • eelgrass
  • acorns, horse chestnuts
  • mosses and lichens","","This class excludes:
- managed production of any of these products (except growing of cork trees), see division 01
- growing of mushrooms or truffles, see 01.13
- growing of berries or nuts, see 01.25
- gathering of fire wood, see 02.20
- production of wood chips, see 16.10"
"3","02.4","Działalność usługowa związana z leśnictwem","","","","","024","","",""
"4","02.40","Działalność usługowa związana z leśnictwem","Klasa ta obejmuje:
-    działalność usługową związaną z leśnictwem, wykonywaną na zlecenie, w zakresie:
 •     urządzania lasu, włączając inwentaryzacje leśne, oceny i aktualizacje stanu lasów,
 •     zagospodarowania lasu,
 •     ochrony lasu, włącznie z ochroną przed pożarami (łącznie z gaszeniem pożarów w lasach) oraz zwalczaniem szkodników leśnych,
 •     doradztwa związanego z zarządzaniem lasem,
 •     przystosowywania, utrzymania i wykorzystania zasobów przyrodniczych w ramach realizacji pozaprodukcyjnych funkcji lasu,
-    działalność usługową związaną z pozyskiwaniem drewna, wykonywaną na zlecenie, włączając zrywkę, podwóz i transport drewna na terenie lasu","","Klasa ta nie obejmuje:
-    działalności szkółek leśnych, sklasyfikowanej w 02.10,
-    drenowania terenów leśnych, sklasyfikowanego w 43.12,
-    oczyszczania placów budowy, sklasyfikowanego w 43.12","","0240","This class includes carrying out part of the forestry operation on a fee or contract basis.

This class includes:
- forestry service activities:
  • forestry inventories
  • forest management consulting services
  • timber evaluation
  • forest fire fighting and protection
  • forest pest control
- logging service activities:
  • transport of logs within the forest","","This class excludes:
- operation of forest tree nurseries, see 02.10
- draining of forestry land, see 43.12
- clearing of building sites, see 43.12"
