"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","02.10","Lesní hospodářství a jiné činnosti v oblasti lesnictví","Z:
- pěstování dříví na stojato: výsadbu, přesazování, probírku stromů a péči o les
- pěstování podrostu, vlákninového dříví a dříví na otop
- provoz lesních školek

Tyto činnosti lze provádět jak v přírodních tak v uměle vysazených lesích.","","N:
- pěstování vánočních stromků (01.29)
- provoz stromových školek, kromě lesních školek (01.30)
- sběr hub a jiných divoce rostoucích lesních materiálů (02.30)
- výrobu štěpek a třísek ze dřeva (16.10)","","0210","This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries

These activities can be carried out in natural or planted forests.","","This class excludes:
- growing of Christmas trees, see 01.29
- operation of tree nurseries, except for forest trees, see 01.30
- gathering of mushrooms and other wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10"
"3","02.2","Těžba dřeva","","","","","022","","",""
"4","02.20","Těžba dřeva","Z:
- produkci kulatiny pro dřevozpracující průmysl
- produkci kulatiny používané v neopracované formě, např. důlního dřeva, plotových kůlů a telegrafních sloupů
- sběr a produkci dřeva pro účely výroby energií
- sběr zbytků vzniklých při těžbě dřeva pro účely výroby energií
- produkci dřevěného uhlí v lese (tradičními metodami)

Produktem této činnosti jsou klády, odřezky nebo palivové dříví.","","N:
- pěstování vánočních stromků (01.29)
- pěstování dříví na stojato: výsadbu, přesazování, probírku stromů a péči o les (02.10)
- sběr jiných divoce rostoucích lesních materiálů (02.30)
- výrobu štěpek a třísek ze dřeva (16.10)
- produkci dřevěného uhlí na základě destilace (20.14)","","0220","This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles
- gathering and production of wood for energy
- gathering and production of forest harvesting residues for energy
- production of charcoal in the forest (using traditional methods)

The output of this activity can take the form of logs or fire wood.","","This class excludes:
- growing of Christmas trees, see 01.29
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10
- gathering of wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10
- production of charcoal through distillation of wood, see 20.14"
"3","02.3","Sběr a získávání volně rostoucích lesních plodů a materiálů, kromě dřeva","","","","","023","","",""
"4","02.30","Sběr a získávání volně rostoucích lesních plodů a materiálů, kromě dřeva","Z:
- sběr divoce rostoucích produktů:
• hub, lanýžů
• bobulovin
• ořechů
• balaty a jiných druhů přírodní gumy podobné kaučuku
• korku
• šelaku a pryskyřice
• balzámů
• rostlinného chmýří
• vochy
• žaludů, kaštanů
• mechů a lišejníků","","N:
- pěstování těchto produktů (kromě pěstování korkového dubu) (oddíl 01)
- pěstování hub a lanýžů (01.13)
- pěstování bobulovin a ořechů (01.25)
- sběr palivového dříví (02.20)
- výrobu štěpek ze dřeva (16.10)","","0230","This class includes:
- gathering of wild growing materials:
  • mushrooms, truffles
  • berries
  • nuts
  • balata and other rubber-like gums
  • cork
  • lac and resins
  • balsams
  • vegetable hair
  • eelgrass
  • acorns, horse chestnuts
  • mosses and lichens","","This class excludes:
- managed production of any of these products (except growing of cork trees), see division 01
- growing of mushrooms or truffles, see 01.13
- growing of berries or nuts, see 01.25
- gathering of fire wood, see 02.20
- production of wood chips, see 16.10"
"3","02.4","Podpůrné činnosti pro lesnictví","","","","","024","","",""
"4","02.40","Podpůrné činnosti pro lesnictví","Tato třída zahrnuje části lesnických činností vykonávané na základě smlouvy nebo dohody.

Z:
- poskytování služeb pro lesnictví:
• evidence dřevin
• poradenství v oboru lesnictví
• hodnocení dřeva
• protipožární ochrana
• kontrola a regulace škůdců v lesnictví
- poskytování služeb pro těžbu dřeva:
• doprava klád v lese","","N:
- provoz lesních školek (02.10)
- odvodňování lesních ploch (43.12)
- vyklízení stavenišť (43.12)","","0240","This class includes carrying out part of the forestry operation on a fee or contract basis.

This class includes:
- forestry service activities:
  • forestry inventories
  • forest management consulting services
  • timber evaluation
  • forest fire fighting and protection
  • forest pest control
- logging service activities:
  • transport of logs within the forest","","This class excludes:
- operation of forest tree nurseries, see 02.10
- draining of forestry land, see 43.12
- clearing of building sites, see 43.12"
"2","03","Rybolov a akvakultura","Tento oddíl zahrnuje rybolov a akvakulturu, tzn. využívání rybářských zdrojů mořského, brakického nebo sladkovodního prostředí pro účely lovu nebo sběru ryb, korýšů, měkkýšů a jiných mořských organismů a produktů (např. vodních rostlin, perel, mořských hub atd.).","Tento oddíl dále zahrnuje činnosti, které jsou běžně součástí výroby na vlastní účet (např. pěstování ústřic pro výrobu perel). Poskytování služeb spojených s rybolovem a akvakulturou v sladkých a mořských vodách je zařazeno do příslušných činností rybolovu a akvakultury.","Tento oddíl nezahrnuje stavbu a opravy lodí a člunů (30.1, 33.15) a sportovní a rekreační rybolov (93.19). Vyloučeno je také zpracování ryb, korýšů a měkkýšů na lodích, není-li spojeno s rybolovem, a rovněž jejich zpracování v zařízeních na pevnině (10.20).","","03","This division includes capture fishery and aquaculture, covering the use of fishery resources from marine, brackish or freshwater environments, with the goal of capturing or gathering fish, crustaceans, molluscs and other marine organisms and products (e.g. aquatic plants, pearls, sponges etc).","Also included are activities that are normally integrated in the process of production for own account (e.g. seeding oysters for pearl production). Service activities incidental to marine or freshwater fishery or aquaculture are included in the related fishing or aquaculture activities.","This division does not include building and repairing of ships and boats (30.1, 33.15) and sport or recreational fishing activities (93.19). Processing of fish, crustaceans or molluscs is excluded, whether at land-based plants or on factory ships (10.20)."
"3","03.1","Rybolov","Tato skupina zahrnuje rybolov, tj. lov, sběr a získávání divoce žijících vodních organismů (především ryb, korýšů a měkkýšů, ale též rostlin) z oceánů, pobřežních nebo vnitrozemských vod pro lidskou konzumaci a k jiným účelům, ručně nebo častěji pomocí různých rybářských nástrojů, např. sítí, udic nebo pastí. Tyto činnosti mohou být prováděny na hranici přílivu a odlivu (např. sběr měkkýšů jako mušlí a ústřic), z pobřeží anebo z člunů a lodí (ať již vyrobených vlastními silami nebo, častěji, vyrobených průmyslově) formou rybolovu při pobřeží nebo na volném moři.","Tyto činnosti zahrnují také lov ryb ve vodách s uměle nasazenými rybami.","","","031","This group includes ""capture fishery"", i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of molluscs such as mussels and oysters) or shore based netting, or from home-made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters. Such activities also include fishing in restocked water bodies.","",""
"4","03.11","Mořský rybolov","Z:
- komerční lov ryb v oceánech a pobřežních vodách
- sběr mořských korýšů a měkkýšů
- lov velryb
- lov mořských živočichů: želv, sumek a jiných pláštěnců, ježovek atd.","ZT:
- činnosti prováděné na lodích, na nichž probíhá nejen samotný rybolov, ale současně i zpracování a konzervování ryb
- lov a sběr ostatních mořských organismů a materiálů: přírodních perel, mořských hub, korálů a řas","N:
- lov mořských savců jako mrožů a tuleňů, s výjimkou velryb (01.70)
- zpracování velryb na plavidlech k tomu určených (10.11)
- zpracování ryb, korýšů a měkkýšů na plavidlech k tomu určených nebo v závodech na pevnině (10.20)
- pronájem výletních lodí s posádkou pro námořní a pobřežní plavbu (např. plavba s rybařením) (50.10)
- činnosti rybářské inspekce a ochrany mořských rybolovných zdrojů a činnosti rybářské stráže (84.24)
- sportovní a rekreační rybolov a činnosti s tím spojené (93.19)
- provoz rybářských revírů pro sportovní rybolov (93.19)","","0311","This class includes:
- fishing on a commercial basis in ocean and coastal waters
- taking of marine crustaceans and molluscs
- whale catching
- taking of marine aquatic animals: turtles, sea squirts, tunicates, sea urchins etc.","This class also includes:
- activities of vessels engaged both in marine fishing and in processing and preserving of fish
- gathering of other marine organisms and materials: natural pearls, sponges, coral and algae","This class excludes:
- capturing of marine mammals, except whales, e.g. walruses, seals, see 01.70
- processing of whales on factory ships, see 10.11
- processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 10.20
- rental of pleasure boats with crew for sea and coastal water transport (e.g. for fishing cruises), see 50.10
- fishing inspection, protection and patrol services, see 84.24
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19"
